-5.6311,-5.18,-5.8153,-5.471
-5.4707,-5.1494,-5.7209,-5.1082
-5.3422,-5.156,-5.6112,-5.1326
-5.5246,-5.1813,-5.7709,-5.3192
-5.4263,-5.1854,-5.676,-5.2376
-5.3771,-5.181,-5.5957,-5.8672
-5.3998,-5.196,-5.5734,-5.6333
-5.4283,-5.2884,-5.6312,-5.4174
-5.5314,-5.3231,-5.7791,-5.4644
-5.6419,-5.2835,-5.792,-5.6293
-5.5579,-5.4034,-5.6678,-6.021
-5.5242,-5.4566,-5.6246,-5.7953
-5.5944,-5.4553,-5.7118,-5.8196
-5.4763,-5.6267,-5.5735,-6.18
-5.4738,-5.7283,-5.5646,-6.0942
-5.6191,-5.5192,-5.7105,-6.0228
-5.5435,-5.351,-5.6988,-5.5341
-5.5715,-5.421,-5.7354,-5.5531
-5.5826,-5.4183,-5.7808,-5.57
-5.6265,-5.4221,-5.8201,-5.5554
-5.6447,-5.4515,-5.8507,-5.6368
-5.641,-5.4731,-5.8353,-5.5662
-5.6052,-5.4296,-5.7525,-5.8042
-5.5158,-5.5228,-5.6383,-5.8037
-5.5204,-5.4889,-5.639,-5.8374
-5.4721,-5.3684,-5.6367,-5.6314
-5.4414,-5.4621,-5.6088,-5.4254
-5.5484,-5.479,-5.7629,-5.4463
-5.5993,-5.4187,-5.8915,-5.5617
-5.6041,-5.4705,-5.8748,-5.841
-5.597,-5.547,-5.7743,-5.7582
-5.567,-5.4819,-5.7341,-5.7881
-5.3748,-5.5607,-5.5528,-5.9196
-5.4264,-5.6669,-5.5689,-6.0398
-5.5403,-5.7772,-5.5935,-6.1964
-5.5943,-5.15,-5.7667,-5.379
-5.5454,-5.1822,-5.7434,-5.5367
-5.3481,-5.2007,-5.5496,-5.21
-5.3445,-5.2,-5.5601,-5.2723
-5.5998,-5.2511,-5.744,-5.7018
-5.4517,-5.2292,-5.6909,-5.4761
-5.416,-5.2048,-5.7047,-5.2618
-5.5197,-5.2239,-5.7784,-5.3674
-5.6057,-5.2397,-5.8459,-5.7265
-5.3913,-5.1925,-5.5941,-5.2286
-5.4794,-5.1902,-5.6709,-5.3286
-5.4989,-5.1942,-5.6751,-5.395
-5.4774,-5.1938,-5.6588,-5.2419
-5.6442,-5.2402,-5.8105,-5.5459
-5.6977,-5.2918,-5.9031,-5.522
-5.504,-5.2077,-5.6899,-5.2925
-5.4468,-5.1857,-5.6104,-5.2388
-5.4592,-5.2099,-5.6554,-5.3495
-5.4501,-5.2587,-5.7023,-5.6241
-5.5452,-5.3183,-5.7713,-5.7669
-5.5823,-5.3037,-5.7857,-5.5211
-5.5319,-5.2475,-5.7178,-5.3685
-5.4665,-5.2421,-5.6335,-5.3207
-5.46,-5.2571,-5.668,-5.4355
-5.583,-5.2455,-5.8047,-5.6517
-5.6832,-5.2462,-5.8226,-5.7338
-5.6829,-5.3048,-5.8471,-5.73
-5.649,-5.2639,-5.8636,-5.6213
-5.5069,-5.2359,-5.7065,-5.4523
-5.3786,-5.2255,-5.5668,-5.3534
-5.4631,-5.1942,-5.6415,-5.5095
-5.5712,-5.2362,-5.7918,-5.6367
-5.4196,-5.2363,-5.6361,-5.426
-5.3373,-5.1747,-5.5573,-5.411
-5.5156,-5.1688,-5.659,-5.5696
