-5.6701,-5.1618,-5.9148,-6.3673
-5.9362,-5.2471,-6.1848,-6.6249
-6.093,-5.3521,-6.3559,-6.6255
-6.1978,-5.3402,-6.4575,-6.6577
-6.0871,-5.323,-6.3561,-6.5034
-5.9937,-5.3286,-6.2536,-6.4619
-6.0427,-5.3064,-6.265,-6.5675
-6.2273,-5.3376,-6.4043,-6.7341
-6.1916,-5.3555,-6.3819,-6.6348
-6.0612,-5.3454,-6.2651,-6.5664
-5.6311,-5.18,-5.8153,-5.471
-5.4707,-5.1494,-5.7209,-5.1082
-5.3422,-5.156,-5.6112,-5.1326
-5.5246,-5.1813,-5.7709,-5.3192
-5.4263,-5.1854,-5.676,-5.2376
-5.3771,-5.181,-5.5957,-5.8672
-5.3998,-5.196,-5.5734,-5.6333
-5.4283,-5.2884,-5.6312,-5.4174
-5.5314,-5.3231,-5.7791,-5.4644
-5.6419,-5.2835,-5.792,-5.6293
-6.0206,-5.2963,-6.2563,-6.5809
-5.8494,-5.2851,-6.0759,-6.1202
-5.6107,-5.2733,-5.8692,-5.9976
-5.4455,-5.2574,-5.6745,-5.6959
-5.5297,-5.3147,-5.7679,-5.8212
-5.6108,-5.3182,-5.8742,-6.1776
-5.7128,-5.3115,-5.9531,-6.1942
-5.8812,-5.3209,-6.1299,-6.2799
-5.8322,-5.3122,-6.0507,-6.4244
-5.6574,-5.2657,-5.9327,-6.3558
-5.5579,-5.4034,-5.6678,-6.021
-5.5242,-5.4566,-5.6246,-5.7953
-5.5944,-5.4553,-5.7118,-5.8196
-5.4763,-5.6267,-5.5735,-6.18
-5.4738,-5.7283,-5.5646,-6.0942
-5.6191,-5.5192,-5.7105,-6.0228
-5.5435,-5.351,-5.6988,-5.5341
-5.5715,-5.421,-5.7354,-5.5531
-5.5826,-5.4183,-5.7808,-5.57
-5.6265,-5.4221,-5.8201,-5.5554
-5.5967,-5.2959,-5.8447,-6.4269
-5.6753,-5.2977,-5.9016,-6.4902
-5.6724,-5.2583,-5.9739,-6.5669
-5.6268,-5.2726,-5.9242,-6.3606
-5.8038,-5.3307,-6.0473,-6.4352
-6.0109,-5.3469,-6.1926,-6.6007
-5.9454,-5.3522,-6.1884,-6.5115
-5.6989,-5.3162,-5.9384,-6.2192
-5.5858,-5.247,-5.7871,-5.8531
-5.6667,-5.2533,-5.9294,-6.0791
-5.6447,-5.4515,-5.8507,-5.6368
-5.641,-5.4731,-5.8353,-5.5662
-5.6052,-5.4296,-5.7525,-5.8042
-5.5158,-5.5228,-5.6383,-5.8037
-5.5204,-5.4889,-5.639,-5.8374
-5.4721,-5.3684,-5.6367,-5.6314
-5.4414,-5.4621,-5.6088,-5.4254
-5.5484,-5.479,-5.7629,-5.4463
-5.5993,-5.4187,-5.8915,-5.5617
-5.6041,-5.4705,-5.8748,-5.841
-5.7608,-5.269,-6.0743,-6.321
-5.754,-5.2487,-6.0401,-6.2086
-5.6769,-5.2413,-5.9641,-6.507
-5.7238,-5.2271,-5.9964,-6.4892
-5.6201,-5.2598,-5.8885,-5.8168
-5.5513,-5.2681,-5.7365,-5.765
-5.6853,-5.3218,-5.9236,-6.2859
-5.7418,-5.338,-5.9679,-6.3444
-5.6005,-5.2986,-5.8263,-6.3026
-5.5703,-5.2994,-5.8432,-6.3803
-5.597,-5.547,-5.7743,-5.7582
-5.567,-5.4819,-5.7341,-5.7881
-5.3748,-5.5607,-5.5528,-5.9196
-5.4264,-5.6669,-5.5689,-6.0398
-5.5403,-5.7772,-5.5935,-6.1964
-5.5943,-5.15,-5.7667,-5.379
-5.5454,-5.1822,-5.7434,-5.5367
-5.3481,-5.2007,-5.5496,-5.21
-5.3445,-5.2,-5.5601,-5.2723
-5.5998,-5.2511,-5.744,-5.7018
-5.7198,-5.3519,-5.9855,-6.4772
-5.7199,-5.342,-5.9644,-6.4847
-5.9586,-5.3602,-6.1793,-6.5957
-5.9306,-5.3804,-6.167,-6.5754
-5.8341,-5.3487,-6.087,-6.6218
-5.799,-5.3149,-6.0089,-6.151
-5.5403,-5.2789,-5.7319,-5.5565
-5.497,-5.3283,-5.6706,-5.5844
-5.7759,-5.3933,-5.9253,-6.0579
-5.8185,-5.397,-5.9892,-6.3914
-5.4517,-5.2292,-5.6909,-5.4761
-5.416,-5.2048,-5.7047,-5.2618
-5.5197,-5.2239,-5.7784,-5.3674
-5.6057,-5.2397,-5.8459,-5.7265
-5.3913,-5.1925,-5.5941,-5.2286
-5.4794,-5.1902,-5.6709,-5.3286
-5.4989,-5.1942,-5.6751,-5.395
-5.4774,-5.1938,-5.6588,-5.2419
-5.6442,-5.2402,-5.8105,-5.5459
-5.6977,-5.2918,-5.9031,-5.522
-5.9354,-5.4149,-6.1488,-6.5006
-6.0241,-5.4348,-6.2009,-6.3166
-5.9865,-5.4105,-6.1502,-6.3735
-5.9496,-5.4283,-6.1255,-6.3963
-5.7171,-5.4445,-5.9675,-6.3353
-5.5593,-5.3961,-5.7795,-6.0775
-5.5984,-5.409,-5.7758,-6.1964
-5.8259,-5.4811,-5.9422,-6.6669
-6.0132,-5.517,-6.1184,-6.6663
-6.1807,-5.4735,-6.3498,-6.6839
-5.504,-5.2077,-5.6899,-5.2925
-5.4468,-5.1857,-5.6104,-5.2388
-5.4592,-5.2099,-5.6554,-5.3495
-5.4501,-5.2587,-5.7023,-5.6241
-5.5452,-5.3183,-5.7713,-5.7669
-5.5823,-5.3037,-5.7857,-5.5211
-5.5319,-5.2475,-5.7178,-5.3685
-5.4665,-5.2421,-5.6335,-5.3207
-5.46,-5.2571,-5.668,-5.4355
-5.583,-5.2455,-5.8047,-5.6517
